ID,NAME,AGE,CLASS,ADDRESS,INCOME,FAMILY,CITIZEN,PREVIOUS_SUBSTANCE_USE,TRANSPORT_METHOD,NEIGHBOR,STREET_LIFE,WORKING,STUDY_LEVEL,HOBBY,SONS_NUMBER
1011813155,León Navarro,14,2,Carrera 25 #11Bbis-167 ,922321,Solo,Colombia,True,Transmilenio,Soratama,True,True,Secundaria,Trabajar,1
1011817278,Irene Soler,23,0,Transversal 80D #85B-114 ,573538,Familiares cercanos,Colombia,True,Transmilenio,Cerro norte,True,True,Tecnico,Trabajar,2
1011812242,Aureliano Márquez,20,1,Carrera 123B #179D-15 ,1032679,Familiares cercanos,Colombia,True,Transmilenio,Cerro norte,False,True,Primaria,Micro futbol,1
1011818305,Aresio Santiago,32,2,Transversal 15 #172C-47 ,1063336,Padre,Venezuela,False,Transmilenio,Cerro norte,True,False,Primaria,Consumo de drogas,2
1011812649,Consuelo Sánchez,16,2,Carrera 196 #168-122 ,1142367,Familiares cercanos,Venezuela,False,Bicicleta,Soratama,False,False,Tecnico,Micro futbol,0
1011820166,Eduardo Suárez,18,1,Carrera 77D #176Bbis-66 ,890035,Familiares cercanos,Venezuela,True,Transmilenio,Codito,False,False,Tecnico,Trabajar,1
1011814678,Sergio Núñez,30,0,Transversal 132B #77D-78 ,925917,Familiares cercanos,Venezuela,False,Sitp,Soratama,True,True,Pocos estudios,Micro futbol,1
1011819190,Belén Parra,27,0,Transversal 193C #138A-192 ,1036303,Solo,Venezuela,True,Transmilenio,Lijaca,True,True,Secundaria,Micro futbol,2
1011813306,Miqueas Pascual,16,0,Transversal 187D #9Cbis-140 ,751893,Padre,Venezuela,False,Sitp,Verbenal,True,True,Pocos estudios,Micro futbol,1
1011818005,Carmelo Mora,30,1,Diagonal 7C  #65Abis-73,1055037,Solo,Venezuela,False,Bicicleta,Verbenal,True,True,Primaria,Micro futbol,2
1011815673,Josafat Guerrero,23,0,Carrera 83A #36Abis-107 ,560940,Madre,Venezuela,False,Sitp,Codito,True,False,Pocos estudios,Consumo de drogas,2
1011816477,Carmelo Fuentes,22,2,Calle 37  #158Abis-156,776175,Solo,Colombia,False,Sitp,Lijaca,False,False,Tecnico,Micro futbol,2
1011818699,Sixto Román,25,1,Transversal 71B #199Bbis-36 ,915087,Padre,Colombia,True,Transmilenio,Soratama,False,True,Tecnico,Trabajar,2
1011820743,Beatriz Aguilar,29,1,Transversal 69D #157Dbis-85 ,649256,Madre,Colombia,False,Bicicleta,Verbenal,False,False,Secundaria,Consumo de drogas,2
1011817592,Lourdes Cortés,22,0,Transversal 29A #94Abis-152 ,1108080,Padre,Venezuela,True,Sitp,Verbenal,True,False,Tecnico,Micro futbol,2
1011813475,Elena Santiago,30,0,Transversal 29C #32Dbis-157 ,603500,Padre,Venezuela,False,Sitp,Codito,False,True,Primaria,Consumo de drogas,0
1011812144,Heraclio Vargas,20,0,Diagonal 175A  #195Dbis-103,1001269,Madre,Venezuela,False,Transmilenio,Soratama,False,False,Tecnico,Consumo de drogas,1
1011817185,Virgilio Navarro,31,1,Transversal 59D #130D-51 ,627812,Solo,Venezuela,False,Bicicleta,Verbenal,False,False,Pocos estudios,Micro futbol,2
1011815473,Eugenio Rey,16,1,Transversal 174B #59Bbis-166 ,609868,Familiares cercanos,Colombia,False,Sitp,Lijaca,False,False,Pocos estudios,Trabajar,1
1011815704,Cirilo Navarro,27,1,Calle 157B  #123Dbis-2,525787,Solo,Colombia,True,Transmilenio,Santa cecilia,True,False,Secundaria,Micro futbol,1
1011819551,Oscar Pérez,24,0,Transversal 126A #115B-163 ,741065,Familiares cercanos,Colombia,False,Transmilenio,Lijaca,True,True,Tecnico,Trabajar,2
1011817331,Gustavo Reyes,24,1,Calle 154B  #169Cbis-193,705675,Solo,Colombia,True,Sitp,Soratama,True,True,Pocos estudios,Consumo de drogas,0
1011815275,Mario Gutiérrez,24,2,Diagonal 187D  #37Cbis-34,681874,Familiares cercanos,Colombia,True,Bicicleta,Soratama,False,True,Pocos estudios,Micro futbol,0
1011812288,Lorenzo Durán,29,0,Carrera 80B #102Bbis-70 ,567716,Familiares cercanos,Colombia,False,Bicicleta,Lijaca,True,False,Primaria,Trabajar,1
1011819807,Ramiro Ortega,21,0,Diagonal 115D  #109-98,608624,Familiares cercanos,Venezuela,True,Bicicleta,Verbenal,False,False,Primaria,Consumo de drogas,2
1011816413,Hildegarda Díez,21,0,Carrera 14D #26-192 ,1121226,Padre,Venezuela,False,Bicicleta,Codito,False,False,Pocos estudios,Trabajar,0
1011816422,Otilia Rubio,30,2,Transversal 70 #113C-99 ,1189127,Solo,Colombia,True,Sitp,Santa cecilia,False,True,Primaria,Trabajar,2
1011815061,Epifanía Cortés,30,1,Transversal 37C #79Abis-180 ,576547,Padre,Venezuela,False,Bicicleta,Cerro norte,True,True,Tecnico,Micro futbol,2
1011813646,Cecilia Núñez,29,2,Transversal 192C #164-132 ,682135,Solo,Venezuela,True,Bicicleta,Soratama,False,True,Pocos estudios,Micro futbol,1
1011817624,Josafat Parra,27,2,Carrera 54D #105Dbis-92 ,652923,Familiares cercanos,Venezuela,True,Sitp,Lijaca,True,False,Tecnico,Micro futbol,1
1011820367,Juan Castro,29,0,Diagonal 56D  #186-94,940040,Solo,Colombia,True,Sitp,Codito,False,True,Tecnico,Micro futbol,1
1011820568,Constancio Moya,24,1,Transversal 63A #167Bbis-3 ,647743,Familiares cercanos,Venezuela,True,Sitp,Verbenal,True,True,Tecnico,Trabajar,2
1011816277,Vanesa Vicente,14,2,Carrera 170A #27D-38 ,510253,Madre,Colombia,False,Sitp,Codito,False,True,Tecnico,Consumo de drogas,1
1011811079,Ascensión Sánchez,24,1,Carrera 94D #159C-168 ,828036,Solo,Venezuela,True,Transmilenio,Verbenal,False,False,Tecnico,Consumo de drogas,0
1011814501,Cayetano Serrano,15,2,Calle 80A  #129Dbis-37,733153,Padre,Colombia,True,Transmilenio,Lijaca,False,False,Primaria,Trabajar,1
1011819831,Esther Blanco,17,0,Calle 195A  #14-177,606868,Solo,Colombia,True,Sitp,Codito,True,False,Secundaria,Trabajar,0
1011815154,Mario Marín,21,2,Carrera 53 #34-51 ,842965,Solo,Colombia,True,Bicicleta,Codito,True,True,Secundaria,Consumo de drogas,0
1011813137,Magdalena Iglesias,24,0,Calle 67A  #11Abis-78,510748,Solo,Colombia,True,Transmilenio,Soratama,False,False,Secundaria,Trabajar,2
1011814750,Enrique Romero,30,0,Transversal 186D #110-78 ,545685,Padre,Venezuela,True,Sitp,Soratama,False,True,Secundaria,Consumo de drogas,1
1011814456,Vicente Díez,22,0,Calle 34C  #27C-113,1112205,Familiares cercanos,Venezuela,True,Transmilenio,Verbenal,True,False,Tecnico,Micro futbol,1
1011819971,Amadeo Fernández,13,1,Calle 145A  #143-198,1148645,Familiares cercanos,Venezuela,False,Bicicleta,Verbenal,True,True,Secundaria,Micro futbol,2
1011817399,Tito Romero,17,1,Carrera 102 #70-167 ,835618,Solo,Colombia,True,Bicicleta,Santa cecilia,False,False,Secundaria,Micro futbol,0
1011820515,Rebeca Marín,24,0,Transversal 64A #69B-187 ,692568,Madre,Venezuela,False,Sitp,Soratama,True,True,Tecnico,Consumo de drogas,0
1011819970,Zaqueo Herrera,17,1,Transversal 85 #102Abis-119 ,577953,Solo,Venezuela,False,Transmilenio,Lijaca,True,True,Tecnico,Consumo de drogas,2
1011815384,Venancio Vega,29,2,Diagonal 148A  #118-114,786265,Padre,Colombia,False,Bicicleta,Cerro norte,False,True,Tecnico,Micro futbol,2
1011817918,Beltrán Márquez,27,1,Transversal 16B #91-4 ,1137795,Solo,Venezuela,False,Sitp,Lijaca,False,True,Pocos estudios,Consumo de drogas,2
1011811870,Almudena Ramos,24,1,Transversal 93D #36D-135 ,1020100,Madre,Venezuela,False,Transmilenio,Lijaca,True,False,Secundaria,Micro futbol,0
1011820525,Marc Carrasco,23,1,Transversal 4B #87C-37 ,952601,Familiares cercanos,Colombia,False,Transmilenio,Cerro norte,True,True,Primaria,Micro futbol,2
1011820275,Míriam Esteban,30,1,Carrera 176 #199Abis-20 ,1039759,Solo,Venezuela,True,Sitp,Cerro norte,False,True,Tecnico,Consumo de drogas,0
1011818030,Ángela Rodríguez,29,1,Transversal 159B #4Bbis-29 ,1017468,Familiares cercanos,Venezuela,True,Transmilenio,Soratama,True,False,Secundaria,Consumo de drogas,0
1011818326,Virginia Bravo,26,2,Transversal 163C #75Cbis-5 ,613504,Madre,Venezuela,False,Bicicleta,Cerro norte,False,False,Pocos estudios,Consumo de drogas,2
1011816326,Cristian Delgado,23,0,Carrera 127D #178Abis-70 ,906477,Padre,Colombia,False,Bicicleta,Cerro norte,True,True,Pocos estudios,Micro futbol,2
